NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
N501,POSISI X TERHADAP N502,JARAK N501_X,26.1,26.1,0.05,-0.05,
N501,POSISI Y TERHADAP N502,JARAK N501_Y,70.6,70.6,0.05,-0.05,
N502,POSISI X TERHADAP L100,X Value_N502,-12,12,0.05,-0.05,
N502,POSISI Y TERHADAP L100,Y Value_N502,-32.6,32.6,0.05,-0.05,
N506,POSISI X TERHADAP CENTER,X Value_506,66.8,66.8,0.05,-0.05,
N506,POSISI Y TERHADAP CENTER,Y Value_506,32.2,32.2,0.05,-0.05,
N507,POSISI X TERHADAP CENTER,X Value_507,-65.2,65.2,0.05,-0.05,
N507,POSISI Y TERHADAP CENTER,Y Value_507,32.2,32.2,0.05,-0.05,
L100,POSISI X TERHADAP CENTER,X Value_Ø 28 L100,1,1,0.05,-0.05,
L100,POSISI Y TERHADAP CENTER,Y Value_Ø 28 L100,65.2,65.2,0.05,-0.05,
L102,POSISI X TERHADAP L100,X Value_L102,-19.4,19.4,0.05,-0.05,
L102,POSISI Y TERHADAP L100,Y Value_L102,22.2,22.2,0.05,-0.05,
L101,POSISI X TERHADAP L100,X Value_L101,19.4,19.4,0.05,-0.05,
L101,POSISI Y TERHADAP L100,Y Value_L101,22.2,22.2,0.05,-0.05,
L103,POSISI X TERHADAP CENTER,X Value_L 103,0,0,0.2,-0.2,
L103,POSISI Y TERHADAP CENTER,Y Value_L 103,91.4,91.4,0.2,-0.2,
N503,POSISI X TERHADAP L100,X Value_N503,25,25,0.2,-0.2,
N503,POSISI Y TERHADAP L100,Y Value_N503,37.5,37.5,0.2,-0.2,
N504,POSISI X TERHADAP L100,X Value_N504,-25,25,0.2,-0.2,
N504,POSISI Y TERHADAP L100,Y Value_N504,37.5,37.5,0.2,-0.2,
N505,POSISI X TERHADAP L100,X Value_N505,24.3,24.3,0.2,-0.2,
N505,POSISI Y TERHADAP L100,Y Value_N505,-28,28,0.2,-0.2,
