NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
L100,POSISI SUMBU X Ø 28,X-Value CAM Ø28,1.0,1.0,0.05,-0.05,1
L100,POSISI SUMBU Y Ø 28,Y-Value CAM Ø28,65.300001,65.3,0.05,-0.05,1
L100,POSISI SUMBU X Ø 35,X-Value CAM Ø35,0.9999994,1.0,0.05,-0.05,1
L100,POSISI SUMBU Y Ø 35,Y-Value CAM Ø35,65.300001,65.3,0.05,-0.05,1
L101,POSISI SUMBU X,X-Value L 101,-17.4,17.4,0.05,-0.05,1
L101,POSISI Y THD L100,Y-Value L 101,23.2,23.2,0.05,-0.05,1
L102,POSISI SUMBU X,X-Value L 102,17.4,17.4,0.05,-0.05,0
L102,POSISI Y THD L100,Y-Value L 102,23.2,23.2,0.05,-0.05,0
L103,POSISI  X ,X-Value L 103,1.0,1.0,0.2,-0.2,0
L103,POSISI Y THD L101 & L102,Y-Value REC L103,1.0,1.0,0.2,-0.2,0
N501,POSISI SUMBU X,X-Value N 501,-69.0000016,69.0,0.2,-0.2,0
N501,POSISI SUMBU Y,Y-Value N 501,32.2000005,32.2,0.2,-0.2,0
N502,POSISI SUMBU X,X-Value N502,-50.5,50.5,0.2,-0.2,0
N502,POSISI SUMBU Y,Y-Value N502,11.5,11.5,0.2,-0.2,0
N503,POSISI SUMBU X,X-Value N 503,-19.0000003,19.0000003,0.1,-0.1,0
N503,POSISI SUMBU Y,Y-Value N 503,-3.0,3.0,0.1,-0.1,0
N504,POSISI SUMBU X THD N501,X-Value N 504,13.0000002,13.0000002,0.1,-0.1,0
N504,POSISI SUMBU Y THD N503,Y-Value REC N 504,14.0,14.0,0.1,-0.1,0
N505,POSISI SUMBU X,X-Value N505,-43.0,43.0,0.2,-0.2,0
N505,POSISI SUMBU Y THD P000,Y-Value N505,-8.5,8.5,0.2,-0.2,0
N506,POSISI SUMBU X,X-Value N506,15.5,15.5,0.2,-0.2,0
N506,POSISI SUMBU Y THD P000,Y-Value N506,-34.3,34.3,0.2,-0.2,0
N507,POSISI SUMBU X THD N505,X-Value REC N 507,91.5000014,91.5,0.2,-0.2,0
N507,POSISI SUMBU Y THD P000,Y-Value N507,-8.5,8.5,0.2,-0.2,0
