NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
J000,FLATNESS FACE CRANK CASE,Flatness DPN,0.0,0.0,0.05,0.0,
L000,FLATNESS FACE CYL HEAD,Flatness2 BLKG,0.0,0.0,0.05,0.0,
J151,POSITION X (DOWEL),X Value_REC DWL KIRI,-25.0,25.0,0.05,-0.05,
J151,POSITION Y (DOWEL),Z Value_REC DWL KIRI,-25.0,25.0,0.05,-0.05,
J152,POSITION X (DOWELL),Z Value_DWL KANAN,-25.0,25.0,0.05,-0.05,
J152,DISTANCE DOWELL HOLE (Y),Dist DWL,52.0,52.0,0.05,-0.05,
L151,POSITION X (DOWELL),X Value_L151,-25.0,25.0,0.05,-0.05,
L151,POSITION Y (DOWELL),Z Value_L151,-25.0,25.0,0.05,-0.05,
L164,DISTANCE DOWELL HOLE (X),Dist DWL MOVE_X,52.0,52.0,0.05,-0.05,
L164,DISTANCE DOWELL HOLE (Y),Dist DWL MOVE_Z,48.0,48.0,0.05,-0.05,
L153,POSITION X,X Value_L153,2.4,2.4,0.2,-0.2,
L153,POSITION Y,Z Value_L153,-57.0,57.0,0.2,-0.2,
K300,FLATNESS MILL,Flatness K300,0.0,0.0,0.1,0.0,
K302,DISTANCE,2d Polar DistanceK302,42.0,42.0,0.2,-0.2,
K301,ANGLE,Projection Angle One_Projection1,-43.0,43.0,1.5,-1.5,
K301,POSITION Y,2d Polar Distance K301,21.0,21.0,0.2,-0.2,
K401,POSITION Y THD J000,Z Value_Circle K401,0.0,0.0,0.2,-0.2,
L100,PERPENDICULARITY ,Perpendicularity1,0.0,0.0,0.03,0.0,
