NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
J163,POSITION X (DOWEL),X Value_J 163,-38.0,38.0,0.05,-0.05,
J163,POSITION Y (DOWEL),Z Value_J 163,31.0,31.0,0.05,-0.05,
J164,POSITION Y THD J163,Z Value_J 164,1.1996999,1.2,0.05,-0.05,
J163,DISTANCE (DOWEL),X Value_J 164,76.7,76.7,0.05,-0.05,
J151,POSITION X,X Value_J 151,-38.0,38.0,0.2,-0.2,
J151,POSITION Y,Z Value_J 151,-31.0,31.0,0.2,-0.2,
J152,POSITION X,X Value_J 152,36.0,36.0,0.2,-0.2,
J152,POSITION Y,Z Value_J 152,-32.2,32.2,0.2,-0.2,
K501,POSITION X,Y Value_K 501,-24.6,24.6,0.2,-0.2,
K501,POSITION Y,Z Value_K 501,14.0,14.0,0.2,-0.2,
K304,POSITION X,Y Value_K304,35.5,35.5,0.2,-0.2,
K304,POSITION Y,Z Value_K304,-20.5,20.5,0.2,-0.2,
K301,POSITION X,Y Value_K301,12.0,12.0,0.2,-0.2,
K301,POSITION Y,Z Value_K301,10.0,10.0,0.2,-0.2,
K302,POSITION X THD K301,Y Value_K 301,-20.0,20.0,0.2,-0.2,
K302,POSITION Y THD K301,Z Value_K 301,-22.0,22.0,0.2,-0.2,
K303,POSITION X,Z Value_K 300,-50.6,50.6,0.15,-0.15,
K303,POSITION Y,Y Value_K 300,28.0,28.0,0.15,-0.15,
K303,CYLINDRICITY,Cyl K303,0.0,0.0,0.02,0.0,
K306,POSITION X,Y Value_K306,2.0,2.0,0.2,-0.2,
K306,POSITION Y,Z Value_K306,14.0,14.0,0.2,-0.2,
K307,POSITION X,Y Value_K307,14.0,14.0,0.2,-0.2,
K307,POSITION Y,Z Value_K307,0.0,0.0,0.2,-0.2,
L164,POSITION X,X Value_L 164,38.7,38.7,0.05,-0.05,
L164,POSITION Y,Z Value_L 164,32.2,32.2,0.05,-0.05,
L151,DISTANCE DOWEL X,X Value_L151,-76.7,76.7,0.05,-0.05,
L151,DISTANCE DOWEL Y,Z Value_L151,-63.2,63.2,0.05,-0.05,
L163,POSITION X,X Value_L163,-38.0,38.0,0.2,-0.2,
L163,POSITION Y,Z Value_L163,31.0,31.0,0.2,-0.2,
L152,POSITION X,X Value_L 152,36.0,36.0,0.2,-0.2,
L152,POSITION Y,Z Value_L 152,-32.2,32.2,0.2,-0.2,
L153,POSITION X,X Value_L 153 BLK,-39.2,39.2,0.2,-0.2,
L153,POSITION Y,Z Value_L 153 BLK,-73.3,73.3,0.2,-0.2,
L154,POSITION X,X Value_L 154 BLK,37.2,37.2,0.2,-0.2,
L154,POSITION Y,Z Value_L 154 BLK,-73.3,73.3,0.2,-0.2,
K401,POSITION X TO K402,X Value_K 401,37.9,37.9,0.15,-0.15,
K401,POSITION Y TO K402,Y Value_K 401,5.0,5.0,0.15,-0.15,
K402,POSITION X,X Value_K 402,-28.4,28.4,0.1,-0.1,
K402,POSITION Y TO J000,Y Value_K 402,7.5,7.5,0.1,-0.1,
L100,PERPENDICULARITY,Perpendicularity SLEEVE,0.0,0.0,0.03,0.0,
