NO,POINT_PEMERIKSAAN,ID,PARAMETER,NOMINAL,Newnom,Uppertol,Lowertol,KP
B000-1,Flatness Surface Cover,N0234,Flatness,0.0,0.0,0.1,-0.0,0
A000-1,Flatness Surface (a),N0079,Flatness,0.0,0.0,0.05,-0.0,0
A000-1,Flatness adjacent bosses,N0080,Flatness,0.0,0.0,0.03,-0.0,0
A000-2,Flatness Surface (a),N0137,Flatness,0.0,0.0,0.05,-0.0,0
A000-2,Flatness adjacent bosses,N0080,Flatness,0.0,0.0,0.03,-0.0,0
A001,Posisi X,N0078,Pos. X,56.3,56.3,0.05,-0.05,1
A001,Posisi Y,N0078,Pos. Y,33.0,33.0,0.05,-0.05,1
A002,Posisi X From A001,N0073,Pos. X,120.3,120.3,0.05,-0.05,1
A002,Posisi Y From A001,N0073,Pos. Y,67.5,67.5,0.05,-0.05,1
A002,Posisi X From A001 ( Drill 6 ),N0531,Pos. X,120.3,120.3,0.2,-0.2,1
A002,Posisi Y From A001 ( Drill 6 ),N0531,Pos. Y,67.5,67.5,0.2,-0.2,1
A003,Posisi X From A006,N0073,Pos. X,120.3,120.3,0.05,-0.05,1
A003,Posisi Y From A006,N0184,Pos. Y,50.0,50.0,0.05,-0.05,1
A004,Posisi X From A003,N0190,Pos. X,52.0,52.0,0.05,-0.05,1
A004,Posisi Y From A003,N0190,Pos. Y,107.0,107.0,0.05,-0.05,1
A005,Posisi X,N0049,Pos. X,0.0,0.0,0.05,-0.05,0
A005,Posisi Y,N0049,Pos. Y,0.0,0.0,0.05,-0.05,0
A005,Circularity,N0450,Roundnes,0.0,0.0,0.01,-0.0,1
A005,Perpendicularity To n,N0451,Rectang.,0.0,0.0,0.01,-0.0,1
A006,Posisi X,N0192,Pos. X,252.0,252.0,0.1,-0.1,1
A006,Posisi Y,N0192,Pos. Y,0.0,0.0,0.1,-0.1,1
A006,Concentricity to m,N0488,Concentr,0.0,0.0,0.03,-0.0,1
A007,Distance From A006,N0166,Distance,47.0,47.0,0.03,-0.03,1
A007,Distance From A008,N0168,Distance,53.0,53.0,0.03,-0.03,1
A008,Distance From A006,N0194,Distance,97.0,97.0,0.05,-0.05,1
A008,Posisi Y,N0158,Pos. Y,0.0,0.0,0.05,-0.05,1
