NO,POINT_PEMERIKSAAN,ID,PARAMETER,NOMINAL,Newnom,Uppertol,Lowertol,KP
A000-1,FLATNESS SURFACE,N0070,Flatness,0.0,0.0,0.0,-0.0,0
A000-1,FLATNESS ADJANCENT BOSSES,N0071,Flatness,0.0,0.0,0.03,-0.0,0
A000-2,FLATNESS SURFACE,N0087,Flatness,0.0,0.0,0.05,-0.0,0
A000-2,FLATNESS ADJANCENT BOSSES,N0088,Flatness,0.0,0.0,0.03,-0.0,0
A001,POSITION X Ø10,N0092,Pos. Y,68.0,68.0,0.05,-0.05,0
A001,POSITION Y Ø10,N0092,Pos. X,4.0,4.0,0.05,-0.05,0
A002,POSISI X TERHADAP A001,N0101,Pos. Y,191.0,191.0,0.05,-0.05,0
A002,POSISI Y TERHADAP A001,N0101,Pos. X,40.0,40.0,0.05,-0.05,0
A003,POSISI X TERHADAP A006,N0220,Pos. Y,48.5,48.5,0.05,-0.05,0
A003,POSISI Y TERHADAP A006,N0220,Pos. X,20.0,20.0,0.05,-0.05,0
A004,POSISI X TERHADAP A006,N0226,Pos. Y,112.0,112.0,0.05,-0.05,0
A004,POSISI Y TERHADAP A006,N0226,Pos. X,112.5,112.5,0.05,-0.05,0
A005,POSISI X,N0156,Pos. X,0.0,0.0,0.05,-0.05,0
A005,POSISI Y,N0156,Pos. Y,0.0,0.0,0.05,-0.05,0
A005,CIRCULARITY,N0488,Roundnes,0.0,0.0,0.01,-0.0,0
A005,PERPENDICULARITY TERHADAP A000-1,N0151,Rectang.,0.0,0.0,0.01,-0.0,0
A005,CONCENTRICITY Ø45 TERHADAP Ø72,N0155,Concentr,0.0,0.0,0.03,-0.0,0
A006,POSITION X,N0150,Pos. Y,0.0,0.0,0.05,-0.05,0
A006,POSITION Y,N0150,Pos. X,258.0,258.0,0.1,-0.1,0
A006,CONCENTRICITY Ø32 TERHADAP Ø47,N0489,Concentr,0.0,0.0,0.03,-0.0,0
A007,POSITION X,N0231,Pos. Y,0.0,0.0,0.05,-0.05,0
A007,DISTANCE FROM O2 A006,N0231,Pos. X,47.0,47.0,0.03,-0.03,0
A008,POSITION X,N0235,Pos. Y,22.9,22.9,0.05,-0.05,0
A008,DISTANCE FROM O3 A007,N0237,Distance,54.0,54.0,0.03,-0.03,0
A024,POSITION X,N0330,Pos. Y,99.0,99.0,0.15,-0.15,0
A024,POSITION Y,N0330,Pos. X,273.0,273.0,0.15,-0.15,0
A026,POSITION X,N0146,Pos. Y,43.5,43.5,0.05,-0.05,0
A026,POSITION Y,N0146,Pos. X,51.0,51.0,0.05,-0.05,0
B011,POSITION X,N0275,Pos. Y,44.5,44.5,0.05,-0.05,0
B011,POSITION Y,N0275,Pos. X,63.5,63.5,0.05,-0.05,0
B012,POSITION X Ø8,N0284,Pos. Y,16.5,16.5,0.05,-0.05,0
B012,POSITION Y Ø8,N0284,Pos. X,410.0,410.0,0.05,-0.05,0
B021,POSITION X,N0298,Pos. Y,81.5,81.5,0.05,-0.05,0
B021,POSITION Y,N0298,Pos. X,53.0,53.0,0.05,-0.05,0
A019,POSITION X,N0110,Pos. Y,125.0,125.0,0.1,-0.1,0
A019,POSITION Y,N0110,Pos. X,62.0,62.0,0.1,-0.1,0
A020,POSITION X FROM A006,N0200,Pos. Y,51.0,51.0,0.1,-0.1,0
A020,POSITION Y FROM A006,N0200,Pos. X,14.5,14.5,0.1,-0.1,0
A041,POSITION X,N0118,Pos. Y,54.0,54.0,0.15,-0.15,0
A041,POSITION Y,N0118,Pos. X,82.0,82.0,0.15,-0.15,0
A038,POSITION X FROM A006,N0208,Pos. Y,88.5,88.5,0.15,-0.15,0
A038,POSITION Y FROM A006,N0208,Pos. X,62.0,62.0,0.15,-0.15,0
A066,ANGLE,N0178,Angle,36.0,36.0,0.5,-0.5,0
A066,DISTANCE FROM O1,N0506,Distance,61.0,61.0,0.1,-0.1,0
A066,DISTANCE FROM A067,N0172,Distance,16.0,16.0,0.1,-0.1,0
A067,DISTANCE FROM O1,N0508,Distance,61.0,61.0,0.1,-0.1,0
A111,FLATNESS,N0378,Flatness,0.0,0.0,0.05,-0.0,0
A151,POSITION X,N0405,Pos. Y,38.7,38.7,0.05,-0.05,0
A151,POSITION Z,N0405,Pos. Z,32.2,32.2,0.05,-0.05,0
A152,POSITION X,N0398,Pos. Y,38.0,38.0,0.05,-0.05,0
A152,POSITION Z,N0398,Pos. Z,31.0,31.0,0.05,-0.05,0
A001,"POSITION X Ø5,45",N0490,Pos. Y,68.0,68.0,0.2,-0.2,0
A001,"POSITION Y Ø5,45",N0490,Pos. X,4.0,4.0,0.2,-0.2,0
A040,POSITION X,N0130,Pos. Y,15.0,15.0,0.2,-0.2,0
A040,POSITION Y,N0130,Pos. X,64.0,64.0,0.2,-0.2,0
A042,POSITION X,N0114,Pos. Y,113.0,113.0,0.2,-0.2,0
A042,POSITION Y,N0114,Pos. X,73.0,73.0,0.2,-0.2,0
A043,POSITION X,N0106,Pos. Y,132.0,132.0,0.2,-0.2,0
A043,POSITION Y,N0106,Pos. X,25.0,25.0,0.2,-0.2,0
A044,POSITION X,N0134,Pos. X,76.0,76.0,0.2,-0.2,0
A044,POSITION Y,N0134,Pos. Y,76.0,76.0,0.2,-0.2,0
A045,POSITION X,N0126,Pos. X,53.0,53.0,0.2,-0.2,0
A045,POSITION Y,N0126,Pos. Y,53.0,53.0,0.2,-0.2,0
A046,POSITION X,N0122,Pos. Y,57.0,57.0,0.2,-0.2,0
A046,POSITION Y,N0122,Pos. X,61.5,61.5,0.2,-0.2,0
A047,POSITION X,N0138,Pos. Y,69.0,69.0,0.2,-0.2,0
A047,POSITION Y,N0138,Pos. X,0.4,0.4,0.2,-0.2,0
A065,POSITION X,N0473,Pos. Y,29.3,29.3,0.2,-0.2,0
A065,POSITION Y,N0475,Distance,8.5,8.5,0.2,-0.2,0
A071,POSITION X,N0242,Pos. Y,92.0,92.0,0.2,-0.2,0
A071,POSITION Y,N0242,Pos. X,110.0,110.0,0.2,-0.2,0
B012,"POSITION X Ø5,45",N0285,Pos. Y,16.5,16.5,0.2,-0.2,0
B012,"POSITION Y Ø5,45",N0285,Pos. X,410.0,410.0,0.2,-0.2,0
B022,POSITION X,N0322,Pos. Y,90.0,90.0,0.2,-0.2,0
B022,POSITION Y,N0322,Pos. X,400.0,400.0,0.2,-0.2,0
B023,POSITION X,N0362,Pos. Y,120.5,120.5,0.2,-0.2,0
