NO,POINT_PEMERIKSAAN,ID,PARAMETER,NOMINAL,Newnom,Uppertol,Lowertol,KP
B000,FLATNESS FACE CRANK CASE,N0159,Flatness,0.0,0.0,0.1,-0.0,0
A000 -1,KERATAAN SURFACE A,N0327,Flatness,0.0,0.0,0.05,-0.0,0
A000 -1,KERATAAN ADJACENT BOSSES,N0393,Flatness,0.0,0.0,0.03,-0.0,0
A000-2,KERATAAN SURFACE B,N0159,Flatness,0.0,0.0,0.05,-0.0,0
A000-2,KERATAAN ADJACENT BOSSES,N0392,Flatness,0.0,0.0,0.03,-0.0,0
A001,POSISI X,N0069,Pos. X,83.0,83.0,0.05,-0.05,1
A001,POSISI Y,N0069,Pos. Y,-110.0,110.0,0.05,-0.05,1
A001,POSISI X Tap,N0383,Pos. X,83.0,83.0,0.2,-0.2,0
A001,POSISI Y Tap,N0383,Pos. Y,110.0,110.0,0.2,-0.2,0
A002,DISTANCE X FROM A001,N0077,Distance,-136.0,136.0,0.05,-0.05,1
A002,DISTANCE Y FROM A001,N0077,Distance,163.5,163.5,0.05,-0.05,1
A002,DISTANCE X FROM A001 Tap,N0385,Distance,136.0,136.0,0.2,-0.2,0
A002,DISTANCE Y FROM A001 Tap,N0385,Distance,163.5,163.5,0.2,-0.2,0
A003,POSISI X DARI A006,N0353,Pos. Y,-48.5,48.5,0.05,-0.05,1
A003,POSISI Y DARI A006,N0353,Pos. X,-20.0,20.0,0.05,-0.05,1
A004,POSISI X DARI A003,N0105,Distance,112.0,112.0,0.05,-0.05,1
A004,POSISI Y DARI A003,N0105,Distance,112.5,112.5,0.05,-0.05,1
A005,POSISI X,N0205,Pos. X,0.0,0.0,0.05,-0.05,1
A005,POSISI Y,N0205,Pos. Y,0.0,0.0,0.05,-0.05,1
A005,KETEGAKLURUSAN THD R,N0081,Rectang.,0.0,0.0,0.01,-0.0,1
A005,KESUMBUAN DIA 45 THD S,N0086,Concentr,0.0,0.0,0.03,-0.0,1
A006,POSISI X,N0085,Pos. X,-258.0,258.0,0.1,-0.1,1
A006,POSISI Y,N0085,Pos. Y,0.0,0.0,0.1,-0.1,1
A006,KESUMBUAN THD T,N0380,Concentr,0.0,0.0,0.03,-0.0,0
A007,JARAK DARI A006,N0091,Distance,47.0,47.0,0.03,-0.03,1
A007,POSISI Y,N0091,Distance,0.0,0.0,0.05,-0.05,1
A008,JARAK DARI A007,N0096,Distance,54.0,54.0,0.03,-0.03,1
A008,POSISI Y,N0097,Pos. Y,22.9,22.9,0.05,-0.05,1
B011,POSISI X,N0209,Pos. X,62.5,62.5,0.05,-0.05,1
B011,POSISI Y,N0209,Pos. Y,-43.0,43.0,0.05,-0.05,1
B012,POSISI X DARI B011,N0214,Distance,-405.5,405.5,0.05,-0.05,1
B012,POSISI Y DARI B011,N0214,Distance,45.5,45.5,0.05,-0.05,1
B012,POSISI X DARI B011 Tap,N0382,Distance,405.5,405.5,0.2,-0.2,0
B012,POSISI Y DARI B011 Tap,N0382,Distance,45.5,45.5,0.2,-0.2,0
A019,POSISI X,N0116,Pos. X,93.0,93.0,0.2,-0.2,0
A019,POSISI Y,N0116,Pos. Y,-80.0,80.0,0.2,-0.2,0
A020,POSISI X,N0109,Pos. X,-243.5,243.5,0.2,-0.2,0
A020,POSISI Y,N0109,Pos. Y,51.0,51.0,0.2,-0.2,0
B021,POSISI X,N0287,Pos. X,126.5,126.5,0.05,-0.05,1
B021,POSISI Y,N0287,Pos. Y,-129.0,129.0,0.05,-0.05,1
B022,POSISI X,N0267,Pos. X,-332.5,332.5,0.2,-0.2,0
B022,POSISI Y,N0267,Pos. Y,119.8,119.8,0.2,-0.2,0
B023,POSISI X,N0299,Pos. X,-68.0,68.0,0.2,-0.2,0
B023,POSISI Y,N0299,Pos. Y,-120.5,120.5,0.2,-0.2,0
B024,POSISI X,N0355,Pos. X,-257.0,257.0,0.2,-0.2,0
B024,POSISI Y,N0355,Pos. Y,-95.5,95.5,0.2,-0.2,0
B025,POSISI X,N0291,Pos. X,13.0,13.0,0.2,-0.2,0
B025,POSISI Y,N0291,Pos. Y,-104.0,104.0,0.2,-0.2,0
B026,POSISI X,N0295,Pos. X,13.0,13.0,0.2,-0.2,0
B026,POSISI Y,N0295,Pos. Y,-99.0,99.0,0.2,-0.2,0
A050,POSISI X,N0186,Pos. Y,-7.0,7.0,0.2,-0.2,0
A050,POSISI Y,N0186,Pos. X,-142.0,142.0,0.2,-0.2,0
B073,POSISI X,N0253,Pos. X,-381.0,381.0,0.2,-0.2,0
B073,POSISI Y,N0253,Pos. Y,-8.0,8.0,0.2,-0.2,0
B051,POSISI X,N0237,Pos. X,50.5,50.5,0.2,-0.2,0
B051,POSISI Y,N0237,Pos. Y,-54.5,54.5,0.2,-0.2,0
B052,POSISI X,N0233,Pos. X,50.5,50.5,0.2,-0.2,0
B052,POSISI Y,N0233,Pos. Y,54.5,54.5,0.2,-0.2,0
B053,POSISI X,N0241,Pos. X,-22.0,22.0,0.2,-0.2,0
B053,POSISI Y,N0241,Pos. Y,-77.0,77.0,0.2,-0.2,0
B054,POSISI X,N0245,Pos. X,-117.0,117.0,0.2,-0.2,0
B054,POSISI Y,N0245,Pos. Y,-83.5,83.5,0.2,-0.2,0
B055,POSISI X,N0249,Pos. X,-285.5,285.5,0.2,-0.2,0
B055,POSISI Y,N0249,Pos. Y,-87.2,87.2,0.2,-0.2,0
B056,POSISI X,N0221,Pos. X,-287.5,287.5,0.2,-0.2,0
B056,POSISI Y,N0221,Pos. Y,86.7,86.7,0.2,-0.2,0
B057,POSISI X,N0225,Pos. X,-157.5,157.5,0.2,-0.2,0
B057,POSISI Y,N0225,Pos. Y,83.5,83.5,0.2,-0.2,0
B058,POSISI X,N0229,Pos. X,-62.5,62.5,0.2,-0.2,0
B058,POSISI Y,N0229,Pos. Y,78.0,78.0,0.2,-0.2,0
B060,POSISI X,N0275,Pos. X,-86.0,86.0,0.2,-0.2,0
B060,POSISI Y,N0275,Pos. Y,86.0,86.0,0.2,-0.2,0
B061,POSISI X,N0315,Pos. X,-146.5,146.5,0.2,-0.2,0
B061,POSISI Y,N0315,Pos. Y,0.0,0.0,0.2,-0.2,0
B062,POSISI X,N0271,Pos. X,-256.0,256.0,0.2,-0.2,0
B062,POSISI Y,N0271,Pos. Y,94.5,94.5,0.2,-0.2,0
B063,POSISI X,N0263,Pos. X,-372.1,372.0,0.2,-0.2,0
B063,POSISI Y,N0263,Pos. Y,56.8,56.8,0.2,-0.2,0
B064,POSISI X,N0279,Pos. X,66.3,66.3,0.2,-0.2,0
B064,POSISI Y,N0279,Pos. Y,44.0,44.0,0.2,-0.2,0
B065,POSISI X,N0283,Pos. X,75.1,75.1,0.2,-0.2,0
B065,POSISI Y,N0283,Pos. Y,26.2,26.2,0.2,-0.2,0
A040,POSISI X,N0136,Pos. X,-63.5,63.5,0.2,-0.2,0
A040,POSISI Y,N0136,Pos. Y,-8.5,8.5,0.2,-0.2,0
A041,POSISI X,N0120,Pos. X,77.5,77.5,0.2,-0.2,0
A041,POSISI Y,N0120,Pos. Y,-55.0,55.0,0.2,-0.2,0
