NO,POINT_PEMERIKSAAN,ID,PARAMETER,NOMINAL,Newnom,Uppertol,Lowertol,KP
C000,Flatness (Joint Face),N0415,Flatness,0.0,0.0,0.05,-0.0,0
C000,Flatness adjacent bosses,N0063,Flatness,0.0,0.0,0.03,-0.0,0
C001,Posisi X,N0053,Pos. X,33.0,33.0,0.05,-0.05,1
C001,Posisi Y,N0053,Pos. Y,56.3,56.3,0.05,-0.05,1
C002,Posisi X From C001,N0405,Distance,67.5,67.5,0.05,-0.05,1
C002,Posisi Y From C001,N0405,Distance,120.3,120.3,0.05,-0.05,1
C005,Posisi X,N0070,Pos. Y,0.0,0.0,0.2,-0.2,0
C005,Posisi Y,N0070,Pos. X,0.0,0.0,0.2,-0.2,0
C005,Circularity,N0417,Roundnes,0.0,0.0,0.01,-0.0,1
C005,Perpendicularity to b,N0072,Rectang.   2,0.0,0.0,0.01,-0.0,1
C005,"Concentricity Ø 30,5H7 to f",N0416,Concentr   5,0.0,0.0,1.0,-0.0,1
C030,Posisi X,N0116,Pos. X,61.6,61.6,0.05,-0.05,1
C030,Posisi Y,N0116,Pos. Y,12.5,12.5,0.05,-0.05,1
D005,Posisi X,N0208,Pos. X,0.0,0.0,0.2,-0.2,0
D005,Posisi Y,N0208,Pos. Y,0.0,0.0,0.2,-0.2,0
D005,Concentricity to f,N0212,Concentr   5,0.0,0.0,0.1,-0.0,1
D021,Posisi X,N0201,Pos. X,90.0,90.0,0.2,-0.2,0
D021,Posisi Y,N0201,Pos. Y,23.0,23.0,0.2,-0.2,0
D023,Posisi X,N0170,Pos. X,111.0,111.0,0.2,-0.2,0
D023,Posisi Y,N0170,Pos. Y,49.0,49.0,0.2,-0.2,0
D032,Posisi X,N0180,Pos. X,93.5,93.5,0.2,-0.2,0
D032,Posisi Y,N0180,Pos. Y,25.0,25.0,0.2,-0.2,0
C016,Diameter,N0137,Diameter,15.0,15.0,0.3,-0.0,0
C016,Posisi X,N0137,Pos. X,8.5,8.5,0.1,-0.1,0
C016,Posisi Y,N0137,Pos. Y,19.8,19.8,0.2,-0.2,0
C016,Distance 01,N0431,Distance,21.55,21.55,0.1,-0.1,0
C019,Posisi X,N0083,Pos. X,76.0,76.0,0.2,-0.2,0
C019,Posisi Y,N0083,Pos. Y,79.5,79.5,0.2,-0.2,0
C020,Posisi X,N0079,Pos. X,50.0,50.0,0.2,-0.2,0
