NO,POINT_PEMERIKSAAN,ID,PARAMETER,NOMINAL,Newnom,Uppertol,Lowertol,KP
C000,FLATNESS SURFACE,N0045,Flatness,0.0,0.0,0.05,-0.0,
C000,FLATNESS ADJANCENT BOSSES,N0058,Flatness,0.0,0.0,0.03,-0.0,
C001,POSITION X Ø10,N0064,Pos. Y,68.0,68.0,0.05,-0.05,
C001,POSITION Y Ø10,N0064,Pos. X,4.0,4.0,0.05,-0.05,
C002,POSISI X TERHADAP A001,N0046,Pos. Y,191.0,191.0,0.05,-0.05,
C002,POSISI Y TERHADAP A001,N0046,Pos. X,40.0,40.0,0.05,-0.05,
C026,POSITION X,N0117,Pos. Y,43.5,43.5,0.05,-0.05,
C026,POSITION Y,N0117,Pos. X,51.0,51.0,0.05,-0.05,
C005,POSISI X,N0065,Pos. X,0.0,0.0,0.05,-0.05,
C005,POSISI Y,N0065,Pos. Y,0.0,0.0,0.05,-0.05,
C005,CIRCULARITY,N0074,Roundnes,0.0,0.0,0.1,-0.0,
C005,PERPENDICULARITY TERHADAP C000,N0069,Rectang.   2,0.0,0.0,0.1,,
C005,CONCENTRICITY Ø68 TERHADAP Ø62,N0073,Concentr   5,0.0,0.0,0.1,-0.0,
D013,POSISI X,N0191,Pos. Y,62.5,62.5,0.05,-0.05,
D013,POSISI Y,N0191,Pos. X,56.5,56.5,0.05,-0.05,
D014,POSITION X DISTANCE FROM D013,N0200,Pos. Y,71.0,71.0,0.05,-0.05,
D014,POSITION Y DISTANCE FROM D013,N0200,Pos. X,119.2,119.2,0.05,-0.05,
D017,POSISI X,N0232,Pos. Y,37.0,37.0,0.05,-0.05,
D017,POSISI Y,N0232,Pos. X,33.0,33.0,0.05,-0.05,
D018,POSITION X DISTANCE FROM D017,N0241,Pos. Y,19.0,19.0,0.05,-0.05,
D018,POSITION Y DISTANCE FROM D017,N0241,Pos. X,40.0,40.0,0.05,-0.05,
D021,POSISI X,N0176,Pos. Y,81.5,81.5,0.05,-0.05,
D021,POSISI Y,N0176,Pos. X,53.0,53.0,0.05,-0.05,
D070,DISTANCE X FROM D074,N0163,Pos. Y,188.7,188.7,0.1,-0.1,
D070,DISTANCE Y FROM D074,N0163,Pos. X,38.7,38.7,0.1,-0.1,
D071,DISTANCE X FROM D074,N0159,Pos. Y,202.7,202.7,0.1,-0.1,
D071,DISTANCE Y FROM D074,N0159,Pos. X,4.7,4.7,0.1,-0.1,
D073,DISTANCE X FROM D074,N0151,Pos. Y,8.8,8.8,0.1,-0.1,
D073,DISTANCE Y FROM D074,N0151,Pos. X,66.3,66.3,0.1,-0.1,
D074,POSITION X,N0145,Pos. Y,103.7,103.7,0.1,-0.1,
D074,POSITION Y,N0145,Pos. X,25.3,25.3,0.1,-0.1,
D075,DISTANCE X FROM D074,N0155,Pos. Y,36.2,36.2,0.1,-0.1,
D075,DISTANCE Y FROM D074,N0155,Pos. X,103.1,103.1,0.1,-0.1,
D080,DISTANCE X FROM 01,N0256,Pos. Y,33.0,33.0,0.1,-0.1,
D080,DISTANCE Y FROM 01,N0256,Pos. X,26.0,26.0,0.1,-0.1,
C016,DISTANCE X FROM 01,N0081,Distance,19.5,19.5,0.1,-0.1,
C016,ANGLE,N0085,Angle,48.0,48.0,3.0,-3.0,
C044,POSITION X,N0101,Pos. X,76.0,76.0,0.1,-0.1,
C044,POSITION Y,N0101,Pos. Y,76.0,76.0,0.1,-0.1,
C046,POSITION X,N0089,Pos. Y,57.0,57.0,0.1,-0.1,
C046,POSITION Y,N0089,Pos. X,61.5,61.5,0.1,-0.1,
D000,FLATNESS,N0187,Flatness,0.0,0.0,0.1,-0.0,
D111,FLATNESS,N0228,Flatness,0.0,0.0,0.03,-0.0,
C111,FLATNESS,N0277,Flatness,0.0,0.0,0.05,-0.0,
D013,"POSISI X Ø5,45",N0191,Pos. Y,62.5,62.5,0.2,-0.2,
D013,"POSISI Y Ø5,45",N0191,Pos. X,56.5,56.5,0.2,-0.2,
D014,"POSITION X DISTANCE FROM D013 Ø5,45",N0200,Pos. Y,71.0,71.0,0.2,-0.2,
D014,"POSITION Y DISTANCE FROM D013 Ø5,45",N0200,Pos. X,119.2,119.2,0.2,-0.2,
D017,"POSISI X Ø5,45",N0232,Pos. Y,37.0,37.0,0.2,-0.2,
D017,"POSISI Y Ø5,45",N0232,Pos. X,33.0,33.0,0.2,-0.2,
D018,"POSITION X DISTANCE FROM D017 Ø5,45",N0241,Pos. Y,19.0,19.0,0.2,-0.2,
D018,"POSITION Y DISTANCE FROM D017 Ø5,45",N0241,Pos. X,40.0,40.0,0.2,-0.2,
D023,POSISI X,N0168,Pos. Y,120.5,120.5,0.15,-0.15,
D023,POSISI Y,N0168,Pos. X,68.0,68.0,0.15,-0.15,
D082,POSITION X,N0208,Pos. Y,59.1,59.1,0.2,-0.2,
D082,POSITION Y,N0208,Pos. X,26.0,26.0,0.2,-0.2,
D083,POSITION X,N0212,Pos. Y,53.0,53.0,0.2,-0.2,
D083,POSITION Y,N0212,Pos. X,35.5,35.5,0.2,-0.2,
D084,POSITION X,N0216,Pos. Y,36.5,36.5,0.2,-0.2,
D084,POSITION Y,N0216,Pos. X,55.0,55.0,0.2,-0.2,
D085,POSITION X,N0220,Pos. Y,66.0,66.0,0.2,-0.2,
D085,POSITION Y,N0220,Pos. X,31.5,31.5,0.2,-0.2,
D091,POSITION X,N0172,Pos. Y,96.0,96.0,0.2,-0.2,
D091,POSITION Y,N0172,Pos. X,95.5,95.5,0.2,-0.2,
D092,POSITION X,N0141,Pos. Y,99.0,99.0,0.2,-0.2,
D092,POSITION Y,N0141,Pos. X,84.0,84.0,0.2,-0.2,
D015,DISTANCE X FROM D017,N0338,Pos. Y,26.0,26.0,0.2,-0.2,
D015,DISTANCE Y FROM D017,N0338,Pos. X,18.0,18.0,0.2,-0.2,
D072,POSITION X,N0137,Pos. Y,118.5,118.5,0.2,-0.2,
D072,POSITION Y,N0137,Pos. X,94.5,94.5,0.2,-0.2,
C160,POSITION X,N0294,Pos. Y,19.8,19.8,0.2,-0.2,
C160,POSITION Y,N0294,Pos. Z,36.7,36.7,0.2,-0.2,
C165,POSITION X,N0302,Pos. Y,37.2,37.2,0.2,-0.2,
C165,POSITION Y,N0302,Pos. Z,73.3,73.3,0.2,-0.2,
C166,POSITION X,N0282,Pos. Y,39.2,39.2,0.2,-0.2,
C166,POSITION Y,N0282,Pos. Z,73.3,73.3,0.2,-0.2,
C163,POSITION X,N0298,Pos. Y,36.0,36.0,0.2,-0.2,
C163,POSITION Y,N0298,Pos. Z,32.2,32.2,0.2,-0.2,
C164,POSITION X,N0290,Pos. Y,38.0,38.0,0.2,-0.2,
C164,POSITION Y,N0290,Pos. Z,31.0,31.0,0.2,-0.2,
C162,POSITION X,N0286,Pos. Y,48.5,48.5,0.2,-0.2,
C162,POSITION Y,N0286,Pos. Z,38.1,38.1,0.2,-0.2,
D087,POSITION X,N0330,Pos. Y,16.0,16.0,0.2,-0.2,
D087,POSITION Y,N0330,Pos. X,96.0,96.0,0.2,-0.2,
D087,POSITION Z SURFACE,N0330,Pos. Z,131.3,131.3,0.2,-0.2,
C026,POSITION X,N0117,Pos. Y,43.5,43.5,0.2,-0.2,
C026,POSITION Y,N0117,Pos. X,51.0,51.0,0.2,-0.2,
C047,POSITION X,N0128,Pos. Y,69.0,69.0,0.2,-0.2,
C047,POSITION Y,N0128,Pos. X,0.4,0.4,0.2,-0.2,
