NO,POINT_PEMERIKSAAN,ID,PARAMETER,NOMINAL,Newnom,Uppertol,Lowertol,KP
C000,FLATNESS,N0078,Flatness,0.0,0.0,0.05,-0.0,1
C000,Flatness beetwen bosses area,N0392,Flatness,0.0,0.0,0.03,-0.0,1
C001,POSISI X,N0399,Pos. X,110.0,110.0,0.05,-0.05,1
C001,POSISI Y,N0399,Pos. Y,83.0,83.0,0.05,-0.05,1
C002,JARAK SUMBU X dari C001,N0401,Pos. X,163.5,163.5,0.05,-0.05,1
C002,JARAK SUMBU Y dari C001,N0401,Pos. Y,136.0,136.0,0.05,-0.05,1
C005,KETEGAKLURUSAN,N0092,Rectang.   2,0.0,0.0,0.01,-0.0,1
C005,POSISI X,N0077,Pos. X,0.0,0.0,0.05,-0.05,1
C005,POSISI Y,N0077,Pos. Y,0.0,0.0,0.05,-0.05,1
C005,KESUMBUAN,N0091,Concentr   5,0.0,0.0,0.1,-0.0,0
C016,JARAK dari C005,N0104,Distance,19.5,19.5,0.1,-0.1,0
C016,SUDUT,N0391,Angle,48.0,48.0,0.5,-0.5,0
C019,POSISI X,N0086,Pos. X,80.0,80.0,0.2,-0.2,0
C019,POSISI Y,N0086,Pos. Y,93.0,93.0,0.2,-0.2,0
C020,POSISI X,N0082,Pos. X,8.5,8.5,0.2,-0.2,0
C020,POSISI Y,N0082,Pos. Y,63.5,63.5,0.2,-0.2,0
C026,POSISI X,N0108,Pos. X,99.0,99.0,0.2,-0.2,0
C026,POSISI Y,N0108,Pos. Y,13.0,13.0,0.2,-0.2,0
C090,POSISI X,N0301,Pos. Y,11.0,11.0,0.2,-0.2,0
C090,POSISI Z (dari JOINT FACE),N0301,Pos. Z,92.5,92.5,0.2,-0.2,0
C111,JARAK FACE,N0320,Distance,74.0,74.0,0.05,-0.05,1
C111,KERATAAN,N0320,Flatness,0.0,0.0,0.05,-0.0,1
C111,SUDUT,N0320,Y-Angle,10.0,10.0,0.5,-0.5,0
C160,POSISI X,N0404,Pos. Z,33.8,33.8,0.2,-0.2,0
C160,POSISI Z,N0404,Pos. X,19.8,19.8,0.2,-0.2,0
C161,POSISI X Ø 6.5,N0293,Pos. Y,13.0,13.0,0.1,-0.1,1
C161,POSISI Y Ø 6.5 dari JOINT FACE,N0293,Pos. Z,33.1,33.1,0.1,-0.1,1
C161,POSISI X Ø 6.1,N0297,Pos. Y,13.0,13.0,0.1,-0.1,1
C161,POSISI Y Ø 6.1 dari JOINT FACE,N0297,Pos. Z,33.1,33.1,0.1,-0.1,1
C162,POSISI X,N0344,Pos. X,48.5,48.5,0.2,-0.2,0
C162,POSISI Z,N0344,Pos. Z,33.5,33.5,0.2,-0.2,0
C163,POSISI X,N0342,Pos. Z,31.0,31.0,0.2,-0.2,0
C163,POSISI Z,N0342,Pos. X,36.0,36.0,0.2,-0.2,0
C164,POSISI X,N0343,Pos. X,38.0,38.0,0.2,-0.2,0
C164,POSISI Z,N0343,Pos. Z,31.0,31.0,0.2,-0.2,0
C165,POSISI X,N0346,Pos. X,27.5,27.5,0.2,-0.2,0
C165,POSISI Z,N0346,Pos. Z,77.3,77.3,0.2,-0.2,0
C166,POSISI X,N0345,Pos. X,35.0,35.0,0.2,-0.2,0
C166,POSISI Z,N0345,Pos. Z,77.3,77.3,0.2,-0.2,0
D000,KERATAAN,N0393,Flatness,0.0,0.0,0.1,-0.0,0
D111,KERATAAN,N0421,Flatness,0.0,0.0,0.03,-0.0,0
D013,POSISI X,N0395,Pos. X,69.5,69.5,0.05,-0.05,1
D013,POSISI Y,N0395,Pos. Y,52.0,52.0,0.05,-0.05,1
D013,POSISI X TAP,N0406,Pos. X,69.5,69.5,0.2,-0.2,0
D013,POSISI Y TAP,N0406,Pos. Y,52.0,52.0,0.2,-0.2,0
D014,POSISI X dari D013,N0199,Pos. X,128.6,128.6,0.05,-0.05,1
D014,POSISI Y dari D013,N0199,Pos. Y,78.0,78.0,0.05,-0.05,1
D014,POSISI X TAP,N0408,Pos. X,128.6,128.6,0.2,-0.2,0
D014,POSISI Y TAP,N0408,Pos. Y,78.0,78.0,0.2,-0.2,0
D017,POSISI X,N0207,Pos. X,60.74,60.74,0.05,-0.05,1
D017,POSISI Y,N0207,Pos. Y,28.5,28.5,0.05,-0.05,1
D017,POSISI X TAP,N0410,Pos. X,60.74,60.74,0.2,-0.2,0
D017,POSISI Y TAP,N0410,Pos. Y,28.5,28.5,0.2,-0.2,0
D018,POSISI X dari D017,N0216,Pos. Y,35.5,35.3,0.05,-0.05,1
D018,POSISI Y dari D017,N0216,Pos. X,14.0,14.0,0.05,-0.05,1
D018,POSISI X TAP,N0412,Pos. Y,35.5,35.3,0.2,-0.2,0
D018,POSISI Y TAP,N0412,Pos. X,14.0,14.0,0.2,-0.2,0
D021,POSISI X,N0179,Pos. X,129.0,129.0,0.05,-0.05,1
D021,POSISI Y,N0179,Pos. Y,126.5,126.5,0.05,-0.05,1
D027,POSISI X dari D017,N0223,Pos. X,12.747,12.747,0.05,-0.05,1
D027,POSISI Y dari D017,N0223,Pos. Y,14.747,14.747,0.05,-0.05,1
D027,KERATAAN PERMUKAAN OIL PUMP,N0394,Flatness,0.0,0.0,0.02,-0.0,0
D023,POSISI X,N0175,Pos. X,120.5,120.5,0.2,-0.2,0
D023,POSISI Y,N0175,Pos. Y,68.0,68.0,0.2,-0.2,0
D070,POSISI X dari D074,N0225,Pos. X,199.8,199.8,0.1,-0.1,1
D070,POSISI Y dari D074,N0225,Pos. Y,22.4,22.4,0.15,-0.15,1
D071,POSISI X dari D074,N0226,Pos. X,198.6,198.6,0.1,-0.1,1
D071,POSISI Y dari D074,N0226,Pos. Y,67.9,67.9,0.15,-0.15,1
D072,POSISI X,N0143,Pos. X,122.0,122.0,0.2,-0.2,0
D072,POSISI Y,N0143,Pos. Y,71.6,71.6,0.2,-0.2,0
D073,POSISI X dari D074,N0227,Pos. X,4.1,4.1,0.1,-0.1,1
D073,POSISI Y dari D074,N0227,Pos. Y,77.4,77.4,0.1,-0.1,1
D074,POSISI X,N0151,Pos. X,103.7,103.7,0.1,-0.1,1
D074,POSISI Y,N0151,Pos. Y,25.3,25.3,0.1,-0.1,1
D080,POSISI X,N0248,Pos. X,18.5,18.5,0.1,-0.1,1
D080,POSISI Y,N0248,Pos. Y,30.0,30.0,0.1,-0.1,1
D081,POSISI X,N0252,Pos. X,33.0,33.0,0.1,-0.1,1
D081,POSISI Y,N0252,Pos. Y,26.0,26.0,0.1,-0.1,1
D082,POSISI X,N0244,Pos. X,8.5,8.5,0.2,-0.2,0
D082,POSISI Y,N0244,Pos. Y,64.0,64.0,0.2,-0.2,0
D083,POSISI X,N0232,Pos. X,53.0,53.0,0.2,-0.2,0
D083,POSISI Y,N0232,Pos. Y,35.5,35.5,0.2,-0.2,0
D084,POSISI X,N0236,Pos. X,36.5,36.5,0.2,-0.2,0
D084,POSISI Y,N0236,Pos. Y,55.0,55.0,0.2,-0.2,0
D085,POSISI X,N0240,Pos. X,55.5,55.5,0.2,-0.2,0
D085,POSISI Y,N0240,Pos. Y,38.5,38.5,0.2,-0.2,0
D086,POSISI X,N0256,Pos. X,12.0,12.0,0.2,-0.2,0
D086,POSISI Y,N0256,Pos. Y,38.5,38.5,0.2,-0.2,0
D087,POSISI X,N0373,Pos. X,14.5,14.5,0.2,-0.2,0
D087,POSISI Y,N0373,Pos. Y,103.0,103.0,0.2,-0.2,0
D087,SUDUT,N0377,Angle,21.0,21.0,1.5,-1.5,0
D087,SUDUT terhadap JOINT FACE,N0379,Angle,30.0,30.0,1.5,-1.5,0
D091,POSISI X,N0171,Pos. X,96.0,96.0,0.2,-0.2,0
D091,POSISI Y,N0171,Pos. Y,95.5,95.5,0.2,-0.2,0
D092,POSISI X,N0260,Pos. Y,79.0,99.0,0.2,-0.2,0
D092,POSISI Y,N0260,Pos. X,99.0,79.0,0.2,-0.2,0
