NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
P201,POSISI X TERHADAP OFFSET MAYA,X Value_Cyl Ø9H7 NOP201,0.0,0.0,0.1,-0.1,
P201,POSISI Y TERHADAP CENTER,Z Value_P201,-10.15,10.15,0.1,-0.1,
P201,SUDUT,SDT GV EX BWH NO. 4P201,-21.0,21.0,0.167,-0.167,
P203,POSISI X TERHADAP OFFSET MAYA,X Value_Cyl Ø9H7 NO.P203,0.0,0.0,0.1,-0.1,
P203,POSISI Y TERHADAP CENTER,Z Value_P203,10.15,10.15,0.1,-0.1,
P203,SUDUT,SDT GV EX ATAS NO. P203,-21.0,21.0,0.167,-0.167,
P202,POSISI X TERHADAP OFFSET MAYA,X Value_Cyl Ø9H7 NO P202,0.0,0.0,0.1,-0.1,
P202,POSISI Y TERHADAP CENTER,Z Value_P202,-11.6,11.6,0.1,-0.1,
P202,SUDUT,SDT GV IN BWH  NO P202,21.0,21.0,0.167,-167.0,
P204,POSISI X TERHADAP OFFSET MAYA,X Value_Cyl Ø9H7 NOP204,0.0,0.0,0.1,-0.1,
P204,POSISI Y TERHADAP CENTER,Z Value_P024,11.6,11.6,0.1,-0.1,
P204,SUDUT,SDT GV IN ATAS NO P204,21.0,21.0,0.167,-0.167,
P201,POSITIONAL TOLERANCE TERHADAP EFG,True Position P201,0.0,0.0,0.2,0.0,
P203,POSITIONAL TOLERANCE TERHADAP EFG,True Position P203,0.0,0.0,0.2,0.0,
P202,POSITIONAL TOLERANCE TERHADAP EFG,True Position P202,0.0,0.0,0.2,0.0,
P204,POSITIONAL TOLERANCE TERHADAP EFG,True Position P204,0.0,0.0,0.2,0.0,
