NO,POINT_PEMERIKSAAN,ID,Nom,Uppertol,Lowertol,KP
J000,FLATNESS FACE CRANK CASE,Flatness J 000,,0.05,,0
L000,FLATNESS FACE CYL HEAD,Flatness L 000,,0.05,,0
J163,POSITION X,X Value_J 163,,,,0
J163,POSITION Y,Z Value_J 163,,,,0
J164,POSITION Y,Z Value_DWL L154,,,,0
J164,DISTANCE DOWELL (X)POSITION Y,Distance1_X,,,,0
J151,POSITION X,X Value_ J 151,,,,0
J151,POSITION Y,Z Value_J 151,,,,0
J152,POSITION X,X Value_J 152,,,,0
J152,POSITION Y,Z Value_J 152,,,,0
L152,POSITION X,X Value_L 152,,,,0
L152,POSITION Y,Z Value_L 152,,,,0
L163,POSITION X,X Value_L163,,,,0
L163,POSITION Y,Z Value_L163,,,,0
L153,POSITION X,X Value_L 153,,,,0
L153,POSITION Y,Z Value_L 153,,,,0
L154,POSITION X,X Value_L154,,,,0
L154,POSITION Y,Z Value_L154,,,,0
L151,DISTANCE DOWELL (X),Distance X L151_X,,,,0
L151,DISTANCE DOWELL (Y),Distance  Y L151_Z,,,,0
L164,POSITION X,X Value_L 164,,,,0
L164,POSITION Y,Z Value_L 164,,,,0
K301,POSITION X THD CENTER,Distance K 301_Z,,,,0
K301,POSITION Y,Y Value_K 301,,,,0
K302,POSITION X THD K301,Distance K 302_Z,,,,0
K302,POSITION Y,Y Value_K 302,,,,0
K303,POSITION X,Z Value_K 303,,,,0
K303,POSITION Y,Y Value_ K 303,,,,0
K304,POSITION X,Z Value_K 304,,,,0
K304,POSITION Y,Y Value_K 304,,,,0
K305,POSITION X,X Value_Intersection K 305,,,,0
K305,POSITION Y,Z Value_Intersection K 305,,,,0
K305,POSITION Y THD FACE HEAD,Y Value_K 305,,,,0
K305,ANGLE,Projection Angle Two_K 305,,1.3,-1.3,0
L100,PERPENDICULARITY,Perpendicularity L 100,,,,0
K401,POSITION X,X Value_K 401,,,,0
K401,POSITION Y,Y Value_K 401,,,,0
K402,POSITION X,Distance K 402_X,,,,0
K402,POSITION Y,Distance  K402_Y,,0.15,-0.15,0
K403,POSITION X,Distance K 403_X,,0.15,-0.15,0
K403,POSITION Y,Distance K 403_Y,,0.15,-0.15,0
