NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
M051,POSISI X TERHADAP M064,Z Value_M 051,-63.2,63.2,0.05,-0.05,
M051,POSISI Y TERHADAP M064,X Value_M 051,-76.7,76.7,0.05,-0.05,
M064,POSISI X,Z Value_M 064,32.2,32.2,0.05,-0.05,
M064,POSISI Y,X Value_M 064,38.6998011,38.7,0.05,-0.05,
M202,POSISI X TERHADAP OFFSET MAYA,X Value_POS SEAT IN BWH M202,0.0,0.0,0.1,0.1,
M202,POSISI Y TERHADAP CENTER,Z Value_M 202,-11.6,11.6,0.1,-0.1,
M202,SUDUT,Angle Two_Cylinder M 202,21.0,21.0,0.167,-0.167,
P202,POSISI X TERHADAP OFFSET MAYA,X Value_Cylinder Ø9H7 P 202,0.0,0.0,0.1,-0.1,
P202,POSISI Y TERHADAP CENTER,Z Value_POS. GV P202,-11.6,11.6,0.1,-0.1,
P202,SUDUT,Projection Angle Two_SDT GV IN BWH M202,21.0,21.0,0.167,-0.167,
M204,POSISI X TERHADAP OFFSET MAYA,X Value_POS SEAT IN ATS M 204,0.0,0.0,0.05,-0.05,
M204,POSISI Y TERHADAP CENTER,Z Value_M 204,11.6,11.6,0.1,-0.1,
M204,SUDUT,Angle Two_M 204,21.0,21.0,1.5,-1.5,
P204,POSISI X TERHADAP OFFSET MAYA,X Value_Cylinder Ø9H7 P204,0.0,0.0,0.1,-0.1,
P204,POSISI Y TERHADAP CENTER,Z Value_POS. GV P204,11.6,11.6,0.1,-0.1,
P204,SUDUT,Angle Two_SDT GV IN ATS M204,21.0,21.0,1.5,-1.5,
M201,POSISI X TERHADAP OFFSET MAYA,X Value_POS SEAT EX BWH M201,0.0,0.0,0.05,-0.05,
M201,POSISI Y TERHADAP CENTER,Z Value_ M 201,-10.15,10.15,0.1,-0.1,
M201,SUDUT,Angle Two_M 201,-21.0,21.0,0.167,-0.167,
P201,POSISI X TERHADAP OFFSET MAYA,X Value_Cylinder Ø9H7 P201,0.0,0.0,0.1,-0.1,
P201,POSISI Y TERHADAP CENTER,Z Value_POS. GV P201,-10.15,10.15,0.1,-0.1,
P201,SUDUT,Projection Angle P201,-21.0,21.0,0.167,-0.167,
M203,POSISI X TERHADAP OFFSET MAYA,Z Value_CYL POS M 203,0.0,0.0,0.1,-0.1,
M203,POSISI Y TERHADAP CENTER,Z Value_ M 203,10.15,10.15,0.1,-0.1,
M203,SUDUT,Angle Two_M 203,-21.0,21.0,0.167,-0.167,
P203,POSISI X TERHADAP OFFSET MAYA,X Value_Cylinder Ø9H7 P203,0.0,0.0,0.1,-0.1,
P203,POSISI Y TERHADAP CENTER,Z Value_POS. GV P203,10.15,10.15,0.1,-0.1,
P203,SUDUT,Angle Two_SDT GV EX ATS P203,-21.0,21.0,0.167,-0.167,
S063,POSISI X,Z Value_S063,31.0,31.0,0.2,-0.2,
S063,POSISI Y,X Value_S063,-38.0,38.0,0.2,-0.2,
S064,POSISI X,Z Value_S 051,32.2,32.2,0.2,-0.2,
S064,POSISI Y,X Value_S 051,38.7,38.7,0.2,-0.2,
M052,POSISI X,Z Value_S 052,-32.2,32.2,0.2,-0.2,
M052,POSISI Y,X Value_S 052,36.0,36.0,0.2,-0.2,
M063,POSISI X,Z Value_M 063,31.0,31.0,0.2,-0.2,
M063,POSISI Y,X Value_M 063,-38.0,38.0,0.2,-0.2,
M205,POSISI X TERHADAP CENTER,X Value_M 205,-2.3,2.3,0.1,-0.1,
M205,POSISI Y TERHADAP CENTER,X Value_Plane BUSI M 205,-9.0,9.0,0.1,-0.1,
M205,SUDUT,Angle Two_M 205,43.0,43.0,1.5,-1.5,
P003,POSISI X TERHADAP CENTER,X Value_P 003,-1.0,1.0,0.2,-0.2,
P003,POSISI Y TERHADAP CENTER,Z Value_P 003,0.0,0.0,0.2,-0.2,
P001,POSISI X TERHADAP CENTER,X Value_P 001,-39.2,39.2,0.2,-0.2,
P001,POSISI Y TERHADAP CENTER,Z Value_P 001,-73.3,73.3,0.2,-0.2,
P002,POSISI X TERHADAP CENTER,X Value_P 002,37.2,37.2,0.2,-0.2,
