NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
M000,FLATNESS,Flatness Ø 80,0.0,0.0,0.025,0.0,0
S051,POSISI SUMBU X,Z-Value S051,-31.0000009,31.0000009,0.2,-0.2,0
S051,POSISI SUMBU Y,X-Value S051,-38.0,38.0,0.2,-0.2,0
S052,POSISI SUMBU X,Z-Value S052,-31.0000009,31.0000009,0.1,-0.1,1
S052,POSISI SUMBU Y,X-Value S052,36.0,36.0,0.1,-0.1,1
S064,POSISI SUMBU X,Z-Value S064,31.0,31.0,0.2,-0.2,0
S064,POSISI SUMBU Y,X-Value S064,36.0,36.0,0.2,-0.2,0
S063,POSISI SUMBU X,Z-Value S063,31.0,31.0,0.05,-0.05,0
S063,POSISI SUMBU Y,X-Value S063,-38.0000011,38.0000011,0.1,-0.1,0
M051,DISTANCE X THD M064,Z-Value M051,-62.0,62.0,0.05,-0.05,1
M051,DISTANCE Y THD M064,X-Value M051,-74.0,74.0,0.05,-0.05,1
M052,POSISI SUMBU X,Z-Value M052,-31.0000005,31.0000005,0.2,-0.2,0
M052,POSISI SUMBU Y,X-Value M052,36.0000005,36.0000005,0.2,-0.2,0
M064,POSISI SUMBU X,Z-Value M064,31.0,31.0,0.05,-0.05,1
M064,POSISI SUMBU Y,X-Value M064,36.0,36.0,0.05,-0.05,1
M063,POSISI SUMBU X,Z-Value M063,31.0000005,31.0000005,0.2,-0.2,0
M063,POSISI SUMBU Y,X-Value M063,-38.0000006,38.0000006,0.2,-0.2,0
N802,POSISI  X THD CENTER PORT IN,Z-Value N802,21.9999999,21.9999999,0.1,-0.1,0
N802,POSISI Y THD CENTER PORT IN,Y-Value N802,-5.0,5.0,0.1,-0.1,0
N803,DISTANCE X THD N801,Z-Value N803,-44.0,44.0,0.1,-0.1,0
N803,DISTANCE Y THD N801,Y-Value N803,10.0,10.0,0.1,-0.1,0
N804,HEIGHT SPOTFACE,X-Value Point N804,87.0000008,87.0000008,0.15,-0.15,0
N804,POSISI SUMBU X,Z-Value N804,-39.000001,39.000001,0.2,-0.2,0
N804,POSISI SUMBU Y,Y-Value N804,54.2,54.2,0.2,-0.2,0
N805,HEIGHT SPOTFACE,X-Value Point N805,70.5000005,70.5000005,0.15,-0.15,0
N805,POSISI SUMBU X,Z-Value N805,34.5,34.5,0.2,-0.2,0
N805,POSISI SUMBU Y,Y-Value N805,56.0000008,56.0000008,0.2,-0.2,0
N700,SUDUT,Projection Angle Two Plane N700,-20.0000003,20.0000003,1.5,-1.5,0
N701,POSISI SUMBU X,Z-Value N701,-10.0,10.0,0.2,-0.2,0
N701,POSISI SUMBU Y,Y-Value N701,32.6000005,32.6000005,0.2,-0.2,0
N701,POSISI SUMBU Z,X-Value N701,-76.5000011,76.5000011,0.2,-0.2,0
N702,SUDUT,Angle N702,55.0,55.0,1.5,-1.5,0
N703,DISTANCE ANTAR HOLE DGN CENTER PORT EXHAUST,2-D Polar Distance N703,53.0,53.0,0.2,-0.2,0
P101,SUDUT,SUDUT 53.0 P101,53.0,53.0,1.5,-1.5,0
P101,POSISI SUMBU X,Z-Value Intersection P101,-31.0,31.0,0.2,-0.2,0
P101,POSISI SUMBU Y,X-Value Intersection P101,55.0,55.0,0.2,-0.2,0
