NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
L100,Depth Rough Boring Thd Center,Z Value_18.2,18.2,18.2,0.15,-0.15,
L100,Radius Rough,Radius 19.4,19.4,19.4,0.3,0.0,
L100,Posisi Rough X Thd Center,X Value_DIA 36.4,-2.4,2.4,0.1,-0.1,
L100,Posisi Rough Z Thd M000,Y Value_DIA 36.4,60.5,60.5,0.15,-0.15,
M201,Depth Rough Boring,Y Value_DEPTH EX,34.8,34.8,0.15,-0.15,
M202,Depth Rough Boring,Y Value_DEPTH IN,33.9,33.9,0.15,-0.15,
M201,SUDUT,Projection Angle Two_SUDUT M201,-25.0,25.0,0.167,-0.167,
VALVE BOR EXH,POSISI X,X Value_Cylinder SEAT EX,0.0,0.0,0.2,-0.2,
VALVE BOR EXH,POSISI Y,Z Value_Cylinder SEAT EX,0.0,0.0,0.2,-0.2,
M202,SUDUT,Projection Angle Two_SUDUT M202,22.0,22.0,0.167,-0.167,
VALVE BOR INL,POSISI X,X Value_Cylinder SEAT IN,0.0,0.0,0.2,-0.2,
VALVE BOR INL,POSISI Y,Z Value_Cylinder SEAT IN,0.0,0.0,0.2,-0.2,
P201,SUDUT,Projection Angle Two_SUDUT P201,-25.0,25.0,0.167,-0.167,
GUIDE VALVE BOR EXH,POSISI X,X Value_Cylinder GV EX,0.0,0.0,0.2,-0.2,
GUIDE VALVE BOR EXH,POSISI Y,Z Value_Cylinder GV EX,0.0,0.0,0.2,-0.2,
P202,SUDUT,Projection Angle Two_SUDUT P202,22.0,22.0,0.167,-0.167,
GUIDE VALVE BOR IN,POSISI X,X Value_Cylinder GV IN,0.0,0.0,0.2,-0.2,
GUIDE VALVE BOR IN,POSISI Y,Z Value_Cylinder GV IN,0.0,0.0,0.2,-0.2,
