NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
L100,"DIAMETER ROUGH BORING Ø 34,4",Diameter_L 100 DIA 35,34.4,34.4,0.3,0.0,
L100,"DIAMETER ROUGH BORING Ø 27,.4",Diameter_L 100 DIA 28,27.4,27.4,0.3,0.0,
L100,"DEPTH ROUGH BORING Ø 27,.4",Z Value_Point1,-27.2,27.2,0.15,-0.15,
L102,POSISI X TERHADAP L100,X Value_Circle L102,-19.4,19.4,0.2,-0.2,
L102,POSISI Y TERHADAP L100,Y Value_Circle L102,22.2,22.2,0.2,-0.2,
L101,POSISI X TERHADAP L100,X Value_Circle L101,19.4,19.4,0.2,-0.2,
L101,POSISI Y TERHADAP L100,Y Value_Circle L101,22.2,22.2,0.2,-0.2,
M201,DEPTH BORING,Y Value_Point SEAT EX ATS,42.2,42.2,0.15,-0.15,
M201,POSISI X TERHADAP CENTER,Z Value_SET EXH BAWAH,-10.15,10.15,0.1,-0.1,
M201,POSISI Y TERHADAP OFFSET MAYA,X Value_SEAT EX ATS 00,0.0,0.0,0.1,-0.1,
M201,SUDUT,Projection Angle Two_Cyl SEAT EX ATS,21.0,21.0,0.167,-0.167,
M203,DEPTH BORING,Y Value_Point EXH BAWH,42.2,42.2,0.15,-0.15,
M203,POSISI X TERHADAP CENTER,Z Value_SET EXH BAWAH,-10.15,10.15,0.1,-0.1,
M203,POSISI Y TERHADAP OFFSET MAYA,X Value_SEAT EXH BWH OO,0.0,0.0,0.1,-0.1,
M203,SUDUT,Projection Angle Two_Cyl EXH BWH,21.0,21.0,0.167,-0.167,
M202,DEPTH BORING,Y Value_Point IN ATS,41.7,41.7,0.15,-0.15,
M202,POSISI X TERHADAP CENTER,Z Value_SEAT IN ATS 11.6,11.6,11.6,0.1,-0.1,
M202,POSISI Y TERHADAP OFFSET MAYA,X Value_SEAT IN ATS 00,0.0,0.0,0.1,-0.1,
M202,SUDUT,Angle Two_Cyl SEAT IN ATS SDT,-21.0,21.0,0.167,-0.167,
M204,DEPTH BORING,Y Value_Point SEAT IN BWH,41.7,41.7,0.2,-0.2,
M204,POSISI X TERHADAP CENTER,Z Value_SEAT IN BWH,-11.6,11.6,0.1,0.1,
M204,POSISI Y TERHADAP OFFSET MAYA,X Value_SEAT IN BWH 00,0.0,0.0,0.1,-0.1,
M204,SUDUT,Angle Two_Cyl SEAT IN BWH,-21.0,21.0,0.167,-0.167,
P201,POSISI X TERHADAP CENTER,Z Value_P201 SUDUT 21,10.15,10.15,0.1,-0.1,
P201,POSISI Y TERHADAP OFFSET MAYA,X Value_GV EX ATS 00,0.0,0.0,0.1,-0.1,
P201,SUDUT,Angle Two_Cyl GV EX ATS,21.0,21.0,0.167,-0.167,
P203,POSISI X TERHADAP CENTER,Z Value_P203 SUDUT 21,-10.15,10.15,0.1,-0.1,
P203,POSISI Y TERHADAP OFFSET MAYA,X Value_GV EXH BWH,0.0,0.0,0.1,-0.1,
P203,SUDUT,Projection Angle Two_Cyl GV EXH BWH,21.0,21.0,0.167,-0.167,
P202,POSISI X TERHADAP CENTER,Z Value_P202 SUDUT 21,11.6,11.6,0.1,-0.1,
P202,POSISI Y TERHADAP OFFSET MAYA,X Value_GV IN ATS 00,0.0,0.0,0.1,-0.1,
P202,SUDUT,Angle Two_GV IN ATS,-21.0,21.0,0.167,-0.167,
P204,POSISI X TERHADAP CENTER,Z Value_P204 SUDUT 21,-11.6,11.6,0.1,-0.1,
P204,POSISI Y TERHADAP OFFSET MAYA,X Value_GV IN BWH 00,0.0,0.0,0.1,-0.1,
P204,SUDUT,Angle Two_Cyl GV IN BWH,-21.0,21.0,0.167,-0.167,
